gold_label,sentence1,sentence2
neutral,A little girl is walking over a path of numbers.,The girl is outside.
entailment,An elder bearded man having a rest in a dilapidated building.,An old bearded man is in an old building.
contradiction,A boy and a girl in jackets gaze in a clothing store window.,Two kids are flying on a hovercraft.
neutral,"Skateboarder jumps off a 5 ft cliff, performing a stunt.",A skateboarder is about to fall off his skateboard.
contradiction,a woman and her dog sitting at an outdoor cafe table,A woman and her cat walk down the street.
neutral,"A young girl with a white vest, pink sleeves and pink knit hat with flower is looking at the flower blossoms on a tree.",The girl is dressed up for a party.
neutral,A man sitting on the ground carving a green coconut with a large knife.,The man is black.
entailment,A brunette woman in a multicolored floral outfit and a pearl necklace is talking while holding a wineglass.,a woman holds a glass
neutral,Two women wearing black t-shirts are sitting in the grass.,2 women chat together on the grass at a park
contradiction,A man juggles flaming objects with a fence and a car in the background.,A lion at the circus.
contradiction,A child is reaching up to the counter using a step stool.,The child is sitting on the floor.
entailment,A group of men walks next to train tracks that are covered in snow.,Some men walk near the tracks.
entailment,"Older Asian man, wearing orange robes in urban area.",The man is in a city.
contradiction,"A man in an urban area is sweeping the sidewalks, with a group of people in the background, crossing a street.",The man is sweeping his home.
contradiction,Several men on stage having a discussion.,The men are playing baseball.
contradiction,A man in a red shirt plays his guitar while looking down.,A man playing the drums
entailment,A woman is exercising in a tropical setting.,A woman is doing an exercise outside in a warm location.
entailment,A woman in sunglasses making a pouting face while eating seafood.,A woman is eating.
neutral,A crowd of people are watching hot air balloons inflate.,People watching hot air balloons inflating to prepare for a trip.
contradiction,Several bicycles parked and a couple walking together.,Several bicycles lie smashed on the ground and a couple stands holding sledgehammers.
entailment,A large busted woman in a yellow shirt has a pink shoulder bag on her shoulder.,A woman with large breasts is carrying a pink bag.
entailment,"Man on bike, with bike clothing and helmet on, having trouble maneuvering through sand from beach.",The man is riding a bike in sand.
neutral,The exhaustion in the woman's face while she continues to ride her bicycle in the competition.,A tall person on a bike
neutral,A hiker pokes his head out of a tent high in the mountains.,The hiker heard a noise.
contradiction,One woman with blond-hair smiles in the foreground while another prepares to blow a noisemaker in the background.,Nobody is smiling
neutral,"A child, wearing a tie, jumps off steps.",A child is jumping off the step and into a puddle.
contradiction,Two children are sitting in the same wooden lawn chair while a green rake is leaning against the same chair.,The children are inside playing video games.
neutral,Seated street musician in black derby plays wind instrument with no one listening or watching.,The man is playing Clarinet.
entailment,They are sitting with clothes on.,Clothed people are sitting.
neutral,One military man executes a combat move on another outside a gated facility.,Two military men in matching uniforms perform drills using combat moves.
entailment,A young boy is dumping a bag of Lego's onto a glass table.,A boy has some legos.
neutral,"A person wearing jeans, a blue shirt and a helmet is riding a four-wheeler in a sandy area.",A man is driving a four wheeler on the beach.
neutral,A person with an electric drill doing something to a toy animal.,The toy is wooden
neutral,A pale dog runs down a path.,A dog is running towards his owner
entailment,Three woman prepare a meal in a kitchen with salmon colored walls and bamboo cabinetry.,The ladies are cooking.
entailment,This boy is in deep concentration playing a game of ping-pong.,Boy plays a game so sincerely
contradiction,A man in a black shirt is playing golf outside.,The man in the black shirt trades Pokemon cards with his girlfriend.
entailment,A woman in black clothing runs down the street barefoot next to two people on bicycles and a female runner.,The woman is outdoors.
contradiction,A young indian boy sitting down thinking about his future.,A man teaches his daughter to ride a horse.
neutral,A woman in a blue shirt and black workout pants practicing martial arts in front of a house.,A woman has a light blue shirt.
neutral,"A woman walking, smiling and holding a shopping bag.",The women came back from a shopping mall.
contradiction,A goalie in a yellow field is protecting the goal.,A goalie is sitting on the grass.
neutral,A woman is exercising in a tropical setting.,A woman is doing yoga on the beach.
entailment,A person performs a snowboarding trick on a rail as a man crouches down to get a better view.,The person snowboards well.
entailment,An old woman in a green and blue plaid shirt is standing on a crowded sidewalk smiling.,A woman in a plaid shirt smiling on a crowded sidewalk
entailment,A man holds wooden boards together as a young boy drives a nail into them.,An adult male holds wooden boards together as a boy hammers a nail into them.
entailment,Leaving the amusement park with lots of prizes.,Leaving the amusment park.
contradiction,"Two guys are examining the front brakes on a bike, while one guy with a wrench is working on them.",Nobody has a wrench
neutral,A group of people standing on a sidewalk.,The people are waiting for the bus.
contradiction,A group of people clap and take pictures of an unseen subject.,A group is booing and throwing tomatoes at an unseen object.
entailment,3 people having coffee outside of a museum.,3 people are outside with coffee.
neutral,A little girl wearing a cardboard diner hat is finishing off some onion rings at a restaurant.,There is a girl celebrating her birthday at a restaurant.
entailment,"A man with a blue shirt and a woman with a red shirt, the woman smiles.","Two people wearing shirts, one of them smiling."
entailment,"A young boy in a Boy Scout shirt sits in a folding camp chair indoors, with other similar chairs around him, and a green tent behind him.",A young boy with clothes on is indoors with chairs.
neutral,A girl in a child's swimming pool.,A girl playing water polo in the pool.
entailment,Couple watching the moon on a bridge.,A couple is watching the moon.
neutral,A man in a light colored uniform is outside an Asian restaurant cleaning the display window which features exotic foods hanging on hooks.,A man has a light blue colored uniform.
neutral,A man pushing a food cart stands in front of a stone building and holds onto the bars covering a window.,A man peering into a window to see if others would like to buy some food.
contradiction,A crowd of people in a lightly snow covered opening with trees to the left and buildings in the background.,The people are inside a concert hall.
entailment,A young boy with his mum going home after playing toy games.,A boy is with his mum.
entailment,Football player jumping to catch the ball with an empty stand behind him.,The ball is being thrown the football player direction.
contradiction,A forest scene graces a curving wall as someone sits to the rear of the picture where there is a break in the design.,A man completes a crossword puzzle.
entailment,A rescue diver just getting out of the dirty water.,The rescue diver is emerging from the dirty water.
neutral,A man in a long-sleeved blue shirt and blue jeans has set up some name trains on the ground looking to sell his wares.,A man is wearing a large blue shirt.
neutral,Two construction workers complete a task near the ground while a third worker looks on.,A supervisor watches 2 men finish a job.
entailment,"A girl wearing a red shirt and jeans is sitting in a rocking chair at a cluttered desk, while another girl wearing a black t-shirt and jogging pants is sitting on the floor writing on a piece of paper with other papers arranged around her.",two girls in a room
contradiction,A large competition sailboat is surrounded by three small boats in the middle of the water.,Three large boats and one smaller boat are docked at a pier.
neutral,A woman runs by in the foreground as other competitors stand on the sideline.,A woman is about to win a marathon.
entailment,Young male in blue shirt and tan pants rollerblading.,The young man is moving.
contradiction,A woman is holding a sign that says honk to indict bush.,The woman is swimming in her pool.
entailment,A male soccer player has his foot extended as if he has just kicked the soccer ball while the ball flies through the air.,The man is outside.
entailment,"An elderly woman pushing a cart filled with boxes walks by theater sign for ""South Pacific"".",A person pushing a cart
entailment,Four men in red vests with crosses on them ski on a mountain.,Four people are skiing
entailment,A man is sitting in a chair and looking at something that he is holding.,A man is sitting down looking at something.
neutral,A woman prepares ingredients for a bowl of soup.,A woman is cutting carrots.
entailment,girl posing against a wall in the city,The girl is standing in front of the wall.
neutral,"A lone, 2-3 year old blond child in a blue jacket is putting a small black plastic item in his mouth as he kneels on a waiting room couch pointed toward the back while looking at something or someone not in the room.",The child is looking for his mom.
entailment,"Person with a black helmet and vest, with a white undershirt, riding on a motorcycle on the street.",A person rides a motorcycle on the street.
entailment,An asian man wearing a blue shirt is kicking up water.,An asian man is getting his shoes or feet wet.
entailment,A man wearing a yellow striped shirt laughs while seated next to another man who is wearing a light blue shirt and clasping his hands together.,Two men sitting together.
entailment,A girl is sitting in a chair blowing up a large yellow party balloon.,A child blows up balloons.
entailment,Several people are picketing oil.,Some people doing something.
entailment,A white man in the shower has fashioned his hair into a mohawk hairstyle using soap suds.,A Caucasian man plays with his hair in the shower.
neutral,Buddhist priest blessing his worshipers.,a priest has tattoos
contradiction,"A man in a red shirt is sitting at his desk with one leg on the desk, using a computer with two screens set up side by side.",A female is walking to the park.
entailment,An audience cheers at a concert.,An audience making noise at a concert.
neutral,Young boy kicks a soccer ball towards the goal as the crowd watches.,The boy is wearing shin guards.
contradiction,a woman walks with her big purse.,A women playing in ground
neutral,A man in a plaid shirt and brown pants walking around town with one hand in his pocket.,The man has walking shoes on.
contradiction,"Two horses, one black and one brown, are pulling a man outside.",A man is being chased by two horses.
entailment,Group sweeping away leakage while bystanders look on.,A group sweeps in front of bystanders.
contradiction,A man with a shopping cart is studying the shelves in a supermarket aisle.,A man is watching a movie in a theater.
neutral,A lady watching kids play on a tree.,A woman is watching her children play.
contradiction,A person dressed in red and black outside a cracked wall.,A person in red and black falling through the ionosphere.
entailment,People of another country are gathered at the farmer's market.,Some people are assembled at the market.
entailment,A man in a small kayak is floating down the river.,A man is in a boat.
neutral,A soccer player wearing white shorts and an orange and green shirt holds the ball while being guarded by another soccer player in a blue uniform.,A professional soccer player holds the soccer ball.
neutral,A boy in red slides down an inflatable ride.,A boy rolls around an inflatable ride.
contradiction,Two people are in a green forest.,The people are in the arctic.
entailment,Old man with gray blanket on squatting against a wall,Old man squats against a wall.
entailment,Several women with long hair and mini-dresses walk together.,A group of women with long hair.
contradiction,A little asian girl in pigtails is building with wood and painting with colored markers.,a bird is flying through a tunnel
contradiction,People of another country are gathered at the farmer's market.,Foreigners assembled at a clothing store.
entailment,"A woman in a bathroom, sitting on the sink, is doing her makeup.",A woman puts on makeup.
neutral,A man drawing pictures of individuals sits under an umbrella with previous works such as justin beiber around him.,an artist works
entailment,two girls sitting by a tree while playing.,There are two girls.
neutral,"Two men, two children, and a woman all sitting down near a stand filled with purses.",The people are in a shopping center.
entailment,"Two professional soccer players compete in a stadium on AstroTurf during a soccer match, and one player is controlling the ball while the other is running after him trying to defend it.",Both of the soccer players want control of the ball.
contradiction,Three men excavating what appears to be a mountainside.,Three men playing a game of poker at a table.
contradiction,Four females wearing helments are riding on an ATV.,Three men are driving motor scooters.
neutral,A man and a woman sit on a deck under a blue sky that is about to be overtaken by tumultuous clouds.,The man and woman sitting under the blue sky are having a good time.
contradiction,A child is looking at some colorful dresses.,A man is looking at some colorful dresses.
contradiction,An old dusty car is half way in the brown water.,A man drives his car.
contradiction,Five people are sitting on horses at a rodeo.,Bandits are sitting on horses as they prepare for a robbery.
contradiction,Five little boys are playing baseball.,A group of boys playing basketball.
entailment,A young man in jogging slacks is checking information on his mobile devise while listening to something on a crowded commuter rail car.,a man in jogging pants checks his device
entailment,A busy street scene on a rainy day full of umbrella toting walkers.,A bunch of people holding umbrellas on a rainy day.
neutral,Two men on bicycles competing in a race.,Men are riding bicycles on the street.
neutral,"Elegantly dressed in black, a man and woman embrace in dance.",A husband and wife are dancing.
neutral,Two ice fishers watch on as a third attempts to cut out a portion of ice with a chainsaw.,Ice fisherman grind their first hole of the day.
contradiction,"A uniformed competitor in motocross has crossed a jump in the course and is astride his motorcycle in midair, with several young men looking on.",A man is riding a bicycle in the park.
entailment,"These two poodles, one black and one brown, are playing.",The dogs are playing.
entailment,A young woman and a young man are talking with a group of other people around.,A group of people talking to each other.
neutral,A group of Asian children are gathered around in a circle listening to an older male in a white shirt.,A male is telling some asian kids a story about the lion king
neutral,Two females and one male looking at various merchandise.,A family is window shopping together.
contradiction,Man relaxing on a bench at the bus stop.,The man stood next to the bench.
entailment,A young child is looking at a commuter train station from the train seat.,The child is on a train seat.
entailment,A man standing in front of a brick building.,A man is outside.
contradiction,A young man in a black shirt and an elderly woman in a pink shirt sitting on a train together.,The man is asleep in the bathtub on the moon.
neutral,A young boy kissing an old man on the forehead.,The boy is kissing his grandpa on the forehead.
entailment,people walking to a special place.,People are walking.
contradiction,"Two dogs are tied up outside a shop, with a bicycle leaning against the wall of the shop.",Two dogs are eatting pizza.
contradiction,A woman in a yellow dress transporting picked food from the fields to wherever it may need to go.,A man transports his crops from the field
neutral,A woman is tugging on a white sheet and laughing,The woman is changing the sheets on her bed.
contradiction,Families waiting in line at an amusement park for their turn to ride.,People are waiting in line at a restaurant.
contradiction,Masked actors perform traditional Japanese theater.,There is only one person present.
contradiction,An extremely wet woman is wading in front of a waterfall.,A woman is sitting in the desert with a flat tire.
entailment,A dune buggy with one male passenger gets some air as it drives over a sand dune.,A dune buggy drives over sand
entailment,The streets are busy and people contemplate their futures.,The streets are busy.
neutral,Two families on a picnic with green grass.,Friends are having a picnic at the park.
contradiction,A young boy showing off a orange and white striped costume with a orange and white joker hat.,The boy is eating a taco while flying on his unicorn.
neutral,A black girl and white girl walking hand and hand in a busy area of a city with a public train in the background.,Two girls walk through downtown.
contradiction,A small girl learning to fold some clothes.,A boy is playing with a toy trick.
contradiction,A man in a red Vegas shirt sits a table playing with his camera.,The man is standing and taking pictures.
neutral,Black dog with tan markings wearing a blue collar standing on green grass.,There is a dog standing in the park.
neutral,A group of people in white sports outfits are gathered together while one of them performs a dance.,The group is gathered to take turns performing a ritual dance.
entailment,A man in swimming trunks kicking a ball at the beach.,A man wearing swimming trunks plays around at the beach.
neutral,Two women playing field hockey on AstroTurf.,Women practicing playing on artificial turf for a game.
contradiction,A person in a gray shirt doles a substance into cups on a green tray while a woman in a seafoam green sweater on their left squirts a liquid into a bucket.,two men sit in a cafe
contradiction,An elderly woman crafts a design on a loom.,The woman is making pizza.
contradiction,A woman wearing a black shirt with a cigarette in her right hand is smiling at the camera.,The woman is wearing a red shirt.
contradiction,A dog running in the sand.,The dog is sitting patiently.
entailment,The person is standing in the doorway beneath the tree.,A person is under a doorway where there is a tree.
entailment,A guy with long brown curly hair wearing a white t-shirt is looking into the camera with something in his mouth. a,A person with long hair looks at the camera
entailment,The white dog with brown spots is walking through shallow water.,The dog is wading through shallow water.
contradiction,Two women stop between a red smart car and a group of photographers to examine their items in hand.,Everyone pictured is male.
neutral,"A taxi SUV drives past an urban construction site, as a man walks down the street in the other direction.",A taxi SUV races to pick up some clients while a man walks peacefully in the other direction.
neutral,A man in a black shirt holding cloth next to a wooded structure as people walk around it.,A man is holding something near some trees as people pass by.
neutral,Two older men standing in front of a store of sorts.,two older men prepare to enter a store
neutral,People walk in a subway hallway.,The subway is a busy place.
entailment,People are walking along the street.,Humans beings are ambling down a road.
contradiction,Girl laying atop floating dock.,A warm towel is on the floor.
entailment,Two men standing near a metal structure in front of a brick wall.,Adult males stand in front of a brick wall near something made of metal.
neutral,A race car sits in the pits.,The car is being repaired.
contradiction,A group of young men are raking lives in front of a home.,The men are watering roses
entailment,A man wearing headphones is standing in front of a poster.,There is a man listening to headphones.
entailment,A white dog bounding through snow,A mammal is running.
neutral,Gymnast does a flip on blue flooring.,A gymnast competes in the olympics
contradiction,"A group of kids listening to their band instructor, and reading music off their papers.",The kids are not reading.
contradiction,A baby is in an activity chair in a child's playroom.,The baby is asleep in the crib.
entailment,"A young woman with red hear and wearing a bikini top is standing with her hands together above her head, while three other people stand directly behind her with their arms in different positions, making the woman in front look as if she has many arms.","Four people are lined up one behind another and they are holding their arms out so it looks like the arms all belong to the first person, a red haired woman in a bikini top."
contradiction,Three men converse in a crowd.,Three men talk while laying down
contradiction,Some young boys ride bikes in the street.,There are girls and boys
neutral,Two young men play trumpet in traditional mariachi dress.,Two young men wearing traditional mariachi dress are playing the trumpet on a stage in front of a crowd.
contradiction,A lady with red-hair peeking into the back of a car.,A lady is looking at a fire truck.
neutral,"A man with an orange hat in a yellow canoe paddles along a river in a wooded, mountainous area.",The man is on vacation
contradiction,Two women dressed for cold weather in jackets and gloves look at something on a cellphone screen.,The woman is alone in her bathroom.
neutral,A man in a gray shirt sorts through Hawaiian style shirts in a department store.,The man is looking for clothing for his trip to Hawaii.
contradiction,A man and woman are talking in a party atmosphere with a crowd and purple and blue lights behind them.,Two women sit looking bored at a party.
contradiction,A blond girl with a graphic t-shirt wheeling a wheelbarrow across a lawn.,The blond girl is sleeping in bed.
neutral,"Music can be created, through winded instruments, by winded instruments, and they are all enjoyed by different peoples, throughout the world.",music is great
neutral,Several men working to repair a McDonald's sign.,Several men working to repair a McDonald's sign at their place of employment
neutral,A male hiker wearing a brown hat is standing next to a triangular monument on the top of a mountain.,A man hides his bald spot under a hat.
entailment,A boy in red slides down an inflatable ride.,A boy is playing on an inflatable ride.
contradiction,Two people are walking down an isolated road.,Two people are jumping on a trampoline on a isolated road.
contradiction,Five children of Indian origin are smiling and posing on a slide.,Children are playing soccer in the grass.
entailment,"A squatting couple outdoors, engaged with a kneeling street performer or vendor reading from a book of manga.",Some people are squatting on a street.
contradiction,A person throwing a yellow ball in the air.,The person throws a square
neutral,A young boy with black hair is holding onto a gun which is secured to a vehicle which is being driven by a young man who is wearing a bright pink shirt.,The boy is outside and running from cops.
entailment,"A woman in a dark blue, and white sweater, walks with her son, down a street.",A woman and her son walking.
contradiction,A brunette woman in a multicolored floral outfit and a pearl necklace is talking while holding a wineglass.,a woman is sleeping
entailment,Two black dogs run along the green grass.,Two dogs run along the lawn.
entailment,A hockey fight.,players fighting
entailment,Woman in light blue knit hat and light blue zippered jacket kneels in front of a bowl of liquid and small bottle.,A woman in a jacket kneels by a bowl and small bottle.
neutral,Two construction workers in a truck having a conversation.,Two people are having an arguement.
neutral,Three indoor track cyclist are being held balanced in place at the starting line by three attendants.,These three cyclists are bitter rivals.
entailment,Two hikers walk along a path adjacent to an old wall.,Two hikers take a stroll
neutral,Several smiling people of varying ages sitting around a table with glasses of beer in front of them.,Several people are celebrating their company going public.
entailment,Two boys standing on top of a diving platform and one captured midair.,Two boys standing bravely on top of a diving platform
entailment,Two women are embracing while holding to go packages.,Two woman are holding packages.
neutral,"A man and a woman wearing costume glasses (with attached eyebrows, nose, and moustache) and holding cigars.",The people are blowing smoke out of their mouths.
contradiction,An older man indulging in a bottle of amber liquid.,An old man is drinking a milk shake in a cup.
neutral,A guy on a waterskiing board is doing a stunt.,The guy is a pro waterskiier.
entailment,A black woman wearing black walking by a window with a mannequin in it.,A black woman walks by a window.
contradiction,"An Asian man in colorful robes holds a bell and leans toward a small table, with Buddhist or Hindu decorations on the table and the walls.",An Asian man in colorful robes holds a gun.
neutral,A little girl in pink boots runs down the street.,A little girl in a yellow dress and pink boots is running down the street after a little boy.
contradiction,"A snowboarder is grinding on a rail in a snowy, mountainous area.",The snowboarder is sitting in the lodge.
contradiction,A couple in bathing suits walk on a beach.,the couple are sitting inside
entailment,Young man engraves Arabic writing into a stone.,Young man is engraving into a stone.
neutral,Seagulls are flying above the crashing waves.,The seagulls are trying to find a place to land after the huge storm.
contradiction,A group of men are searching for something.,A group of men found treasure.
contradiction,a redheaded lady is reading a book while waiting for the train.,a woman is reading a book on her ride home.
entailment,A guy in a laundromat getting his things together.,A guy is in the laundromat
contradiction,Two backpackers look at scenic mountains.,Two guys are backpacking on Mars.
entailment,Two kids begin to make a snowman on a sunny winter day.,Two kids making a snowman.
contradiction,A girl with black hair and a green shirt has taken several bites from a fresh green apple.,"The girl opens an oven door, and checks a meatloaf she is cooking to see how it is coming along."
contradiction,A rather tall man and a woman wearing a red top and blue jeans waiting at on the sidewalk.,The man and woman are standing in the shower.
entailment,"People in a grocery store crowd around to watch a Tv, except one man who walks toward the camera.",There is a man walking towards a camera.
neutral,a boy and girl hold hands walking down a railroad track,The couple are getting their pictures professionally taken at the railroad tracks.
entailment,Black dog with tan markings wearing a blue collar standing on green grass.,There is a dog standing outside.
neutral,A person dressed in all black throwing a ball down a bowling alley.,A person is bowling in a tournament.
entailment,"A young couple sit on the couch, the woman wearing a blue work shirt, her eyes half closed, while the man sits with his arm around her, looking towards the camera, in a gray shirt.",A couple sit on the couch
entailment,"A lone, 2-3 year old blond child in a blue jacket is putting a small black plastic item in his mouth as he kneels on a waiting room couch pointed toward the back while looking at something or someone not in the room.",The child is blonde.
entailment,A woman in the street with a black shirt and stars with her mouth open.,There is someone outside.
contradiction,Two children feeding horses through a fence.,Children are throwing rocks at small sheep.
entailment,"A classroom full of men, with the teacher up front.",A bunch of men are in class.
contradiction,"A family, daughter in the middle, walks down the street.",the family is seated
entailment,"A man walking in a crowd, draped in a Canadian flag.",A man is wearing a Canadian flag in the crowd.
contradiction,Two elderly men are sitting on a boat that appears to be traveling down a river in the middle of the forest.,Two woman are drinking alcohol and getting twisted
contradiction,Two women with long hair are walking on a sidewalk under an overpass.,The women are enjoying the breeze on their freshly-shaved buzzcuts.
entailment,Two power walkers walking beside one another in a race.,Two people in a race
entailment,A woman with an umbrella listens on a mobile phone on the street in front of a graffiti-tagged wall.,A person is on the phone outside in the rain.
neutral,Two boys are holding red kites with water in the background.,An ocean is behind a couple about to fly red kites
contradiction,A man in a black jacket is talking with two blond women as they stand near a car in the sunshine.,Bonnabos dance ballet.
entailment,A child slides down a colorful slide while another child watches,A child goes down a slide.
neutral,a man with a tattoo on his arm cooking something in a frying pan.,A chef cooks in a diner.
contradiction,Asian workers assembling a wood project.,Asian workers are building with metal.
contradiction,A dog leaps into the air in a grassy field surrounded by trees.,A dog is sleeping in a grassy field surrounded by trees.
entailment,The police officer riding a horse is talking to a man riding a bike.,The police officer talking to a man.
contradiction,A skateboarder goes down a railing.,A skateboarder goes up the hill.
neutral,"a large house with three stories and 3 matching balconies, with one person standing on each balcony overlooking onlookers.",The house is by the beach.
neutral,"This is a picture of three young men, dressed in suits with one on a bike, and of a young lady wearing a white dress.",three guys going to a wedding
entailment,A young boy in a red jacket and a child in a blue jacket sitting on the bank next to water.,Two children are outside.
neutral,Three hockey players are in the middle of a play.,the players are playing for the championship
entailment,Two young men play trumpet in traditional mariachi dress.,Two humans are playing instruments.
entailment,A group of people wearing hats and using walking sticks are walking through a wooded area on a trail.,A bunch of people outdoors.
entailment,A baseball player sliding into home as the opposing team's catcher awaits the baseball for the out.,A player is hoping to score a run.
contradiction,A butterfly has lit on the head of this sleeping toddler.,A butterfly is trying to kill a sleeping toddler.
contradiction,"An African-American football player, wearing jersey number 12 for the University of Oklahoma, throws a football to his left.",The player throws the baseball to the umpire.
entailment,A group of people playing guitars and singing.,"There are several people in this photo, and they are all making music."
neutral,A young girl jumping in front of the White House.,Someone is playing jump rope.
entailment,A man in a dark floral shirt and black jeans walks buy a brightly colored wall painted with a woman with bright green eyes.,A man walks past a newly painted mural of a woman.
entailment,A girl in a blue shirt leaps into the air.,The girl is jumping.
entailment,The little dog walking on the grass has a red bow in its hair.,The dog is walking on the grass.
entailment,Two young girls looking at Barbie dolls.,Two girls are watching dolls.
contradiction,Two people wearing winter clothes stand near a pole in a winter scene.,dog chases two cows
entailment,"A smiling young girl with blond-hair, blue eyes, and a pink shirt, is holding a yellow flower towards the viewer outside.",A joyously smiling young girl with blond-hair
contradiction,A man takes a nap on the sidewalk in a busy city.,A man is sitting in an open field.
contradiction,A soldier is holding a gun and crouched down with is mouth covered by a cloth.,The solder is sipping tea inside.
contradiction,The player from the black team is telling something to the player of the red team.,The teams have purple and yellow uniforms.
neutral,A woman wading through a pool in front of a waterfall.,The woman was sitting on a rubber floating device in the pool.
entailment,A man in a restaurant having lunch.,The man is at a restaurant.
neutral,Two pedestrians walking past a sidewalk cafe on a cobblestone street.,two pedestrians walk on a cobblestone road past a cafe in France
entailment,Spray obscures the face and torso of the paddle wielding man in the red kayak.,A man is using a red kayak.
neutral,"A man with a ""Backyard Babies"" has a black box in front of him and a crowd on chairs behind him.",The man is a magician.
entailment,A man wearing a white shirt and an orange shirt jumped into the air.,A man's feet are not touching the ground.
entailment,A man in a suit and tie is opening a door.,There is one man in this picture.
contradiction,"A person on a brown horse wearing jeans, a plaid shirt, and a cowboy hat attempts to lasso a running calf.",A person on a white horse and red shirt and baseball hat attempts to lasso a running calf
contradiction,Uniformed schoolgirls are walking together on the street.,The girls walk separately down the street.
neutral,"Bald man in white and black shorts, punching man with black hair, and red, orange and blue shorts.",The men are fighting over a girl.
contradiction,A youngster straddles a small makeshift bench while his companion plays in the doorway nearby.,A kid falls off a staircase
contradiction,A man in a blue shirt and blue jeans rides a dark brown horse with white feet at the rodeo.,a man rides a bike
contradiction,A little kid is jumping off a brick balcony.,A child is sleeping in bed.
contradiction,A man in a white shirt is standing in a T-shirt booth.,A man in a black shirt getting a tattoo.
entailment,"A uniformed competitor in motocross has crossed a jump in the course and is astride his motorcycle in midair, with several young men looking on.",A person is on a motorcyle with spectators.
contradiction,"Scene from a life show with man singing in the center, there are two women one on each side of him.",A man is sitting in an audience.
contradiction,An Asian girl writes down something on a notepad in her lap.,The Asian girl is dancing.
contradiction,"Two women are posing with the Naked Cowboy in Times Square, New York City.",Two women are eating tacos at home.
entailment,A young blond woman with braided pigtails and wearing blue biking gear is bicycle racing along a dirt track.,A young blond girl is riding a bike.
entailment,Excavation of the ruins of a ancient temple.,A ancient temple is evacuated.
contradiction,Two men pause on a rock while hiking in barren terrain.,Two men are in a kayak.
contradiction,A Asian man in a red and yellow uniform diving for the birdie in a game,A birdie retrieves its uniform from a person
neutral,A young boy in a red jacket and a child in a blue jacket sitting on the bank next to water.,The children are watching the water.
neutral,A woman in a green blouse and black skirt sitting on a bench in front of an elephant model.,The woman has sunglasses on.
entailment,A person is sitting in front of three blue and white port-o-potties with a mop propped against them.,A person is sitting near portable toilets.
contradiction,A man is walking away from tents with the word Camden on them.,The tents do not have anything written on them.
entailment,"Two boys, one wearing green, the other in yellow, are playing with sidewalk chalk, drawing pictures on the ground.",Two boys are drawing pictures.
contradiction,A woman with red-hair and wearing a black tank top and short jeans shorts appears to be yelling.,A woman with red-hair hold her hand over her mouth in absolute silence.
entailment,One woman with blond-hair smiles in the foreground while another prepares to blow a noisemaker in the background.,A person smiling
entailment,The dog is walking in the snow.,The snow is outside
neutral,Adults with their kids are riding on a small red train.,A family is riding the small train at an amusement park.
neutral,a group of people walking down road heading away from the camera.,"A group of guys walk down the road towards a bar, backs facing the camera."
contradiction,A inside view of an apartment showing 2 couches and a coffee table.,A man is feeding some birds some bread.
contradiction,A fireman is on a ladder leaning on a charred and smoking house.,a policeman arresting a hooker
contradiction,Professional women at the registration table of an event while men in suits look on.,People are partying.
neutral,"A group of people, men, women and children gathered around a table stacked with merchandise.",People are picking out the items they want.
contradiction,An older man in an apron cleaning.,A woman is painting her fingernails.
contradiction,"Man in gray zippered jacket and red shirt pets a brown dog and holds a young girl in pink shirt, while a woman next to him holds an infant boy and a gray dog.",A woman and man are selling dogs and children.
contradiction,Blond woman wearing a red shirt and white pants stands on a garbage can as she holds a camera.,A homeless girl uses both hands to eat garbage from a garbage can.
entailment,A young boy swinging on a swing.,A boy swings outside.
neutral,"A woman, wearing a white shirt and green shorts, sitting on a rock in a beautiful body of water.",The woman is barefoot.
entailment,Middle-aged man in jeans and dark blue t-shirt carrying a black item and walking across a lawn.,Man in dark clothing walks across a lawn.
contradiction,"The tops of a large number of balloons are visible behind a wall, with a large high rise building in the background.",A man and woman watch the sun set over the ocean.
neutral,A boy in a colorful hat and red shirt holding a green seed at the beach.,A boy is sitting in the sand.
neutral,A woman observes a rusted antique car.,A woman looks at an old car she might buy.
neutral,"A man in his 30's is sitting on a curb of a busy sidewalk, dressed in a furry green costume.",The man just lost his job playing Oscar the Grouch at Sesame Place because he kicked a child.
contradiction,A crowd of people are watching hot air balloons inflate.,One person watching a plane prepare for a sky diving trip.
entailment,Two women are wet while holding hands with a long building and buses in the background.,Women are in the city.
contradiction,A man and a girl are both looking at something of interest.,A girl sleeps in her moms lap
contradiction,A young boy looking at a picture book.,A girl reading a novel.
neutral,A treat vendor is standing in the sun while others sit in the shade under umbrellas.,A man is selling food to pedestrians.
entailment,A beautiful woman puts on a look of amazement while she wears native clothing.,a woman is amazed
contradiction,3 people having coffee outside of a museum.,3 people are eating ice cream outside of a mall.
neutral,A group of people standing in front of a club.,A group of people are waiting to enter the club.
entailment,A crowd standing in a room with their backs to the camera.,There are people standing in a room.
neutral,A small ice cream stand with two people standing near it.,Two people in line to buy icecream.
entailment,Four people wearing street clothes work on the scalp of a woman in an improvised medical treatment.,Four people are working on a woman's scalp.
neutral,Making something tasty hope you like lemons!,A woman is making a lemon meringue pie.
neutral,A brown dog runs through a field.,A dog chases a rabbit.
entailment,A boy with a board strapped to his feet does a trick while holding onto some kind of rope.,A boy is holding a rope.
entailment,Two men inside a tent are examining the floor.,men looking at the floor
entailment,A man in a red shirt is being serviced by a working old woman in a store.,A man in a store.
